   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.252    3.252 2_start_client.py:20(main)
        1    0.000    0.000    3.380    3.380 2_start_client.py:3(<module>)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
       33    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:163(__enter__)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:170(__exit__)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
     41/2    0.000    0.000    0.127    0.063 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(__exit__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
       55    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:406(cached)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
       33    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
       33    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
     33/2    0.001    0.000    0.129    0.065 <frozen importlib._bootstrap>:659(_load_unlocked)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:716(find_spec)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:737(create_module)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
      120    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:852(__enter__)
      120    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:856(__exit__)
       33    0.001    0.000    0.062    0.002 <frozen importlib._bootstrap>:879(_find_spec)
     33/2    0.000    0.000    0.135    0.068 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:94(acquire)
     33/2    0.001    0.000    0.135    0.068 <frozen importlib._bootstrap>:966(_find_and_load)
    39/38    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1044(_path_hooks)
      216    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1061(_path_importer_cache)
       29    0.002    0.000    0.054    0.002 <frozen importlib._bootstrap_external>:1098(_get_spec)
       29    0.000    0.000    0.054    0.002 <frozen importlib._bootstrap_external>:1130(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1175(__init__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1181(<genexpr>)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1207(_get_spec)
      191    0.008    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1212(find_spec)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1257(_fill_cache)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1286(<setcomp>)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1298(path_hook_for_FileFinder)
       52    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:243(cache_from_source)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
       29    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:339(_get_cached)
      949    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:363(_verbose_message)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:379(_check_name_wrapper)
       26    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:416(_validate_bytecode_header)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
       26    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:471(_compile_bytecode)
      947    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(spec_from_file_location)
      947    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
       52    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
       29    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:588(_open_registry)
       29    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:595(_search_registry)
       29    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:610(find_spec)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:653(create_module)
     26/2    0.000    0.000    0.129    0.064 <frozen importlib._bootstrap_external>:656(exec_module)
      252    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
       26    0.001    0.000    0.023    0.001 <frozen importlib._bootstrap_external>:726(get_code)
       35    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:808(get_filename)
       26    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:813(get_data)
       26    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
       31    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:889(__init__)
        3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:900(create_module)
