         15407 function calls (15146 primitive calls) in 0.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.012    0.012 2_start_client.py:15(main)
        1    0.000    0.000    0.126    0.126 2_start_client.py:3(<module>)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
       28    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:163(__enter__)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
     35/1    0.000    0.000    0.109    0.109 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(__exit__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
       46    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:406(cached)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
       28    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
       28    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
     28/1    0.001    0.000    0.110    0.110 <frozen importlib._bootstrap>:659(_load_unlocked)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:737(create_module)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
       28    0.001    0.000    0.054    0.002 <frozen importlib._bootstrap>:879(_find_spec)
     28/1    0.000    0.000    0.113    0.113 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:94(acquire)
